,cartera_contactada,bajas_capturadas
449,0.22211,0.96615
450,0.22261,0.96923
451,0.2231,0.96923
452,0.22359,0.96923
453,0.22409,0.96923
454,0.22458,0.96923
455,0.22507,0.96923
456,0.22557,0.96923
457,0.22606,0.97231
458,0.22655,0.97231
459,0.22705,0.97231
460,0.22754,0.97231
461,0.22804,0.97231
462,0.22853,0.97231
463,0.22902,0.97231
464,0.22952,0.97231
465,0.23001,0.97538
466,0.2305,0.97538
467,0.231,0.97538
468,0.23149,0.97538
469,0.23198,0.97538
470,0.23248,0.97538
471,0.23297,0.97538
472,0.23346,0.97538
473,0.23396,0.97538
474,0.23445,0.97538
475,0.23495,0.97538
476,0.23544,0.97538
477,0.23593,0.97538
478,0.23643,0.97538
479,0.23692,0.97538
480,0.23741,0.97538
481,0.23791,0.97538
482,0.2384,0.97538
483,0.23889,0.97538
484,0.23939,0.97846
485,0.23988,0.97846
486,0.24038,0.97846
487,0.24087,0.98154
488,0.24136,0.98154
489,0.24186,0.98154
490,0.24235,0.98154
491,0.24284,0.98154
492,0.24334,0.98154
493,0.24383,0.98154
494,0.24432,0.98154
495,0.24482,0.98154
496,0.24531,0.98154
497,0.2458,0.98154
498,0.2463,0.98154
499,0.24679,0.98154
500,0.24729,0.98154
501,0.24778,0.98462
502,0.24827,0.98462
503,0.24877,0.98462
504,0.24926,0.98462
505,0.24975,0.98462
506,0.25025,0.98462
507,0.25074,0.98462
508,0.25123,0.98462
509,0.25173,0.98462
510,0.25222,0.98462
511,0.25271,0.98462
512,0.25321,0.98462
513,0.2537,0.98462
514,0.2542,0.98462
515,0.25469,0.98462
516,0.25518,0.98462
517,0.25568,0.98462
518,0.25617,0.98462
519,0.25666,0.98462
520,0.25716,0.98462
521,0.25765,0.98462
522,0.25814,0.98462
523,0.25864,0.98462
524,0.25913,0.98462
525,0.25962,0.98462
526,0.26012,0.98462
527,0.26061,0.98462
528,0.26111,0.98462
529,0.2616,0.98462
530,0.26209,0.98462
531,0.26259,0.98462
532,0.26308,0.98462
533,0.26357,0.98462
534,0.26407,0.98769
535,0.26456,0.98769
536,0.26505,0.98769
537,0.26555,0.98769
538,0.26604,0.98769
539,0.26654,0.98769
540,0.26703,0.98769
541,0.26752,0.98769
542,0.26802,0.98769
